vendorID,tpepPickupDateTime,tpepDropoffDateTime,passengerCount,tripDistance,puLocationId,doLocationId,startLon,startLat,endLon,endLat,rateCodeId,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,totalAmount
1,2016-01-13 07:39:22,2016-01-13 07:49:04,1,1.5,,,-73.98057556152344,40.74296188354492,-73.98497009277344,40.75666427612305,1,N,1,8.0,0.0,0.5,0.3,1.75,0.0,10.55
2,2016-01-03 23:19:45,2016-01-03 23:22:42,4,0.5,,,-73.9918212890625,40.726280212402344,-73.98564910888672,40.72386169433594,1,N,1,4.0,0.5,0.5,0.3,1.06,0.0,6.36
1,2016-01-06 10:48:37,2016-01-06 10:53:03,1,0.5,,,-74.00017547607422,40.7327766418457,-74.00269317626953,40.73956298828125,1,N,1,5.0,0.0,0.5,0.3,0.0,0.0,5.8
2,2016-01-25 15:12:10,2016-01-25 15:21:13,1,1.32,,,-73.95165252685547,40.78235626220703,-73.94197082519531,40.79786682128906,1,N,2,7.5,0.0,0.5,0.3,0.0,0.0,8.3
2,2016-01-09 10:41:56,2016-01-09 10:53:22,1,2.18,,,-73.98023223876953,40.74555969238281,-74.00811767578125,40.73912048339844,1,N,1,10.0,0.0,0.5,0.3,2.16,0.0,12.96
1,2016-01-06 07:41:48,2016-01-06 07:49:46,1,1.5,,,-73.95389556884766,40.76719284057617,-73.96797943115234,40.756919860839844,1,N,1,8.0,0.0,0.5,0.3,1.5,0.0,10.3
2,2016-01-19 08:29:57,2016-01-19 08:34:10,4,0.84,,,-73.9708251953125,40.761451721191406,-73.96976470947266,40.75231170654297,1,N,2,4.5,0.0,0.5,0.3,0.0,0.0,5.3
2,2016-01-16 17:15:21,2016-01-16 17:34:36,1,10.46,,,-73.87455749511719,40.774078369140625,-73.97272491455078,40.75511932373047,1,N,1,29.0,0.0,0.5,0.3,7.07,5.54,42.41
2,2016-01-19 08:44:18,2016-01-19 08:51:03,1,1.21,,,-73.99002075195312,40.733009338378906,-74.00213623046875,40.72296142578125,1,N,1,6.5,0.0,0.5,0.3,1.1,0.0,8.4
2,2016-01-28 14:28:41,2016-01-28 14:34:29,1,0.64,,,-74.01040649414062,40.71860885620117,-74.00825500488281,40.71184539794922,1,N,1,5.5,0.0,0.5,0.3,1.26,0.0,7.56
